"species","island","bill_length_mm","bill_depth_mm","flipper_length_mm","body_mass_g","sex","year"
"Adelie","Dream",39.2,18.6,190,4250,"male",2009
"Adelie","Dream",36.6,18.4,184,3475,"female",2009
"Adelie","Dream",36,17.8,195,3450,"female",2009
"Adelie","Dream",37.8,18.1,193,3750,"male",2009
"Adelie","Dream",36,17.1,187,3700,"female",2009
"Adelie","Dream",41.5,18.5,201,4000,"male",2009
"Chinstrap","Dream",46.5,17.9,192,3500,"female",2007
"Chinstrap","Dream",50,19.5,196,3900,"male",2007
"Chinstrap","Dream",51.3,19.2,193,3650,"male",2007
"Chinstrap","Dream",45.4,18.7,188,3525,"female",2007
"Chinstrap","Dream",52.7,19.8,197,3725,"male",2007
"Chinstrap","Dream",45.2,17.8,198,3950,"female",2007
"Chinstrap","Dream",46.1,18.2,178,3250,"female",2007
"Chinstrap","Dream",51.3,18.2,197,3750,"male",2007
"Chinstrap","Dream",46,18.9,195,4150,"female",2007
"Chinstrap","Dream",51.3,19.9,198,3700,"male",2007
"Chinstrap","Dream",46.6,17.8,193,3800,"female",2007
"Chinstrap","Dream",51.7,20.3,194,3775,"male",2007
"Chinstrap","Dream",47,17.3,185,3700,"female",2007
"Chinstrap","Dream",52,18.1,201,4050,"male",2007
"Chinstrap","Dream",45.9,17.1,190,3575,"female",2007
"Chinstrap","Dream",50.5,19.6,201,4050,"male",2007
"Chinstrap","Dream",50.3,20,197,3300,"male",2007
"Chinstrap","Dream",58,17.8,181,3700,"female",2007
"Chinstrap","Dream",46.4,18.6,190,3450,"female",2007
"Chinstrap","Dream",49.2,18.2,195,4400,"male",2007
"Chinstrap","Dream",42.4,17.3,181,3600,"female",2007
"Chinstrap","Dream",48.5,17.5,191,3400,"male",2007
"Chinstrap","Dream",43.2,16.6,187,2900,"female",2007
"Chinstrap","Dream",50.6,19.4,193,3800,"male",2007
"Chinstrap","Dream",46.7,17.9,195,3300,"female",2007
"Chinstrap","Dream",52,19,197,4150,"male",2007
"Chinstrap","Dream",50.5,18.4,200,3400,"female",2008
"Chinstrap","Dream",49.5,19,200,3800,"male",2008
"Chinstrap","Dream",46.4,17.8,191,3700,"female",2008
"Chinstrap","Dream",52.8,20,205,4550,"male",2008
"Chinstrap","Dream",40.9,16.6,187,3200,"female",2008
"Chinstrap","Dream",54.2,20.8,201,4300,"male",2008
"Chinstrap","Dream",42.5,16.7,187,3350,"female",2008
"Chinstrap","Dream",51,18.8,203,4100,"male",2008
"Chinstrap","Dream",49.7,18.6,195,3600,"male",2008
"Chinstrap","Dream",47.5,16.8,199,3900,"female",2008
"Chinstrap","Dream",47.6,18.3,195,3850,"female",2008
"Chinstrap","Dream",52,20.7,210,4800,"male",2008
"Chinstrap","Dream",46.9,16.6,192,2700,"female",2008
"Chinstrap","Dream",53.5,19.9,205,4500,"male",2008
"Chinstrap","Dream",49,19.5,210,3950,"male",2008
"Chinstrap","Dream",46.2,17.5,187,3650,"female",2008
"Chinstrap","Dream",50.9,19.1,196,3550,"male",2008
"Chinstrap","Dream",45.5,17,196,3500,"female",2008
"Chinstrap","Dream",50.9,17.9,196,3675,"female",2009
"Chinstrap","Dream",50.8,18.5,201,4450,"male",2009
"Chinstrap","Dream",50.1,17.9,190,3400,"female",2009
"Chinstrap","Dream",49,19.6,212,4300,"male",2009
"Chinstrap","Dream",51.5,18.7,187,3250,"male",2009
"Chinstrap","Dream",49.8,17.3,198,3675,"female",2009
"Chinstrap","Dream",48.1,16.4,199,3325,"female",2009
"Chinstrap","Dream",51.4,19,201,3950,"male",2009
"Chinstrap","Dream",45.7,17.3,193,3600,"female",2009
"Chinstrap","Dream",50.7,19.7,203,4050,"male",2009
"Chinstrap","Dream",42.5,17.3,187,3350,"female",2009
"Chinstrap","Dream",52.2,18.8,197,3450,"male",2009
"Chinstrap","Dream",45.2,16.6,191,3250,"female",2009
"Chinstrap","Dream",49.3,19.9,203,4050,"male",2009
"Chinstrap","Dream",50.2,18.8,202,3800,"male",2009
"Chinstrap","Dream",45.6,19.4,194,3525,"female",2009
"Chinstrap","Dream",51.9,19.5,206,3950,"male",2009
"Chinstrap","Dream",46.8,16.5,189,3650,"female",2009
"Chinstrap","Dream",45.7,17,195,3650,"female",2009
"Chinstrap","Dream",55.8,19.8,207,4000,"male",2009
"Chinstrap","Dream",43.5,18.1,202,3400,"female",2009
"Chinstrap","Dream",49.6,18.2,193,3775,"male",2009
"Chinstrap","Dream",50.8,19,210,4100,"male",2009
"Chinstrap","Dream",50.2,18.7,198,3775,"female",2009
